Season,23R
Collection Type,SEASON
Color,BLACK
Color Code,B672
Style Number,12353
Wholesale (EUR),487
M.S.R.P. (EUR),1290
Department,MEN
Season,24R
Collection Type,SEASON
Color,WHITE
Color Code,B673
Style Number,12354
Wholesale (EUR),500
M.S.R.P. (EUR),1300
Department,MEN
Season,25R
Collection Type,SEASON
Color,BLACK
Color Code,B674
Style Number,12354
Wholesale (EUR),600
M.S.R.P. (EUR),2000
Department,MEN
Season,26R
Collection Type,SEASON
Color,YELLOW
Color Code,B675
Style Number,23456
Wholesale (EUR),700
M.S.R.P. (EUR),2200
Department,MEN
Season,27R
Collection Type,SEASON
Color,WHITE
Color Code,B679
Style Number,67890
Wholesale (EUR),1000
M.S.R.P. (EUR),3000
Department,MEN
