Film,North America(Opening),North America(Gross (unadjusted)),Worldwide gross (unadjusted)
Toy Story,$29.1 million,$191.8 million,$373.6 million
A Bug's Life,$33.3 million,$162.8 million,$363.3 million
Toy Story 2,$57.4 million,$245.9 million,$497.4 million
"Monsters, Inc.",$62.6 million,$255.9 million,$525.4 million
Finding Nemo,$70.3 million,$339.7 million,$867.9 million
The Incredibles,$70.5 million,$261.4 million,$633.0 million
Cars,$60.1 million,$244.1 million,$462.2 million
Ratatouille,$47.0 million,$206.4 million,$620.7 million
WALL-E,$63.1 million,$223.8 million,$533.3 million
Up,$68.1 million,$293.0 million,$735.1 million
Toy Story 3,$110.3 million,$415.0 million,"$1,067.0 million"
Cars 2,$66.1 million,$191.5 million,$562.1 million
Brave,$66.3 million,$237.3 million,$540.4 million
Monsters University,$82.4 million,$268.5 million,$744.2 million
Inside Out,$90.4 million,$356.5 million,$857.6 million
The Good Dinosaur,$39.2 million,$123.1 million,$332.2 million
Finding Dory,$135.1 million,$486.3 million,"$1,028.6 million"
Cars 3,$53.7 million,$141.6 million,$224.8 million
